customer_id,customer_name,customer_type,industry,city,state,country,registration_date,customer_status
3e3907f0-68db-4a45-b8fc-8069a3f0fd73,Trident Logistics 1,Business,E-commerce,Singapore,Singapore,Singapore,2019-04-07,Active
7fe1c22f-ce09-437d-9ac7-0b61fe2ffa70,Global Industries 2,Business,Industrial Machinery,Manchester,Manchester,United Kingdom,2018-04-10,Active
20b1a594-7bdb-46ae-b163-6addd765b2bc,Vertex Exports 3,Business,Automotive,Singapore,Singapore,Singapore,2023-05-23,Inactive
dbcf8c1e-5e32-40a5-bb2c-8088c0391a11,Vertex Industries 4,Business,Retail,Hamburg,Hamburg,Germany,2019-06-22,Active
dbeca693-c10b-4723-90b9-61c758e17c69,Prime Retail 5,Business,E-commerce,Sharjah,Sharjah,UAE,2021-03-14,Active
51d520ba-bcc4-46a2-af21-c902577c7b5e,Apex Exports 6,Business,Retail,Yokohama,Yokohama,Japan,2020-01-31,Active
6853461b-7630-493f-9c31-fee59db87ab4,Omni Trading 7,Business,Industrial Machinery,Amsterdam,Amsterdam,Netherlands,2021-05-31,Active
1b3b9699-a95b-4957-90d9-f60c5ee8e9bf,Prime Imports 8,Business,Pharma,Singapore,Singapore,Singapore,2018-10-18,Active
16f073df-4006-4726-bc20-3fa21937fb98,Global Imports 9,Business,Pharma,Sharjah,Sharjah,UAE,2025-05-15,Active
bc49d6ea-de3d-484b-89fd-6d0d57e6853d,Omni Retail 10,Business,Pharma,Busan,Busan,South Korea,2021-08-04,Active
2a3582c1-4a77-4230-949b-653dcc06dc31,Apex Exports 11,Business,E-commerce,Seoul,Seoul,South Korea,2023-02-05,Active
92282010-ac7b-4697-a546-2f60d022c4e2,Apex Imports 12,Business,Electronics,Shenzhen,Shenzhen,China,2020-04-06,Active
4861d283-34f4-4118-9cbf-423c5fa76578,Omni Imports 13,Business,Retail,Busan,Busan,South Korea,2018-03-04,Active
f708f584-b859-4dd1-a39c-6e2db7b08183,Prime Imports 14,Business,Textiles,Osaka,Osaka,Japan,2021-06-03,Active
79a7918d-0b78-4b11-834a-84f66a8f7ae6,Omni Industries 15,Business,FMCG,Incheon,Incheon,South Korea,2022-01-09,Active
d8b51b0e-baa7-4713-9d1d-2b7e8feb6bb9,Prime Trading 16,Business,Industrial Machinery,Singapore,Singapore,Singapore,2024-04-07,Active
b849ab7a-d0ae-44d2-a491-b8b7b717ae7f,Zenith Retail 17,Business,Pharma,Amsterdam,Amsterdam,Netherlands,2022-12-25,Active
4ef9e369-dab2-4c83-9b02-c3c8bb0e7635,Nexa Retail 18,Business,Automotive,Chicago,Chicago,United States,2020-09-17,Active
8289e9ca-66e7-493e-ac67-894fa029ceb2,Nexa Logistics 19,Business,Electronics,Guangzhou,Guangzhou,China,2023-05-06,Active
beef7ee3-bf30-4513-a061-a9fbbc7a2c1e,Prime Trading 20,Business,Textiles,Shanghai,Shanghai,China,2021-06-27,Active
d6c39992-bcb5-4c75-9523-ef2ccac34136,Global Retail 21,Business,Retail,Rotterdam,Rotterdam,Netherlands,2018-11-28,Inactive
2f4d1de8-6e48-4d74-b267-e760defdd4f1,Trident Trading 22,Business,Pharma,Sharjah,Sharjah,UAE,2018-03-02,Active
eab28b87-fc4f-4a9f-8356-93391156562d,Omni Trading 23,Business,Automotive,Manchester,Manchester,United Kingdom,2023-09-12,Active
f63e18c8-2efe-4b85-a25a-c4a0043dc050,Trident Industries 24,Business,Electronics,London,London,United Kingdom,2020-11-02,Active
16f6edb1-5c2d-4693-826c-114c53e93226,Prime Trading 25,Business,Industrial Machinery,Rotterdam,Rotterdam,Netherlands,2018-06-28,Active
