product_id,product_name,category,hs_code,hazardous,perishable,temperature_controlled,fragile,weight_per_unit,supplier_name
0a132cf3-2a67-4087-aff9-d11d19a61cac,Furniture SKU-10000,Furniture,9403.28,False,False,False,True,623.92,Nova Suppliers
e84bb39c-58c4-4132-92e6-d3e9cbcaf17e,Textiles SKU-10001,Textiles,6204.24,False,False,False,False,155.43,Eastern Suppliers
981b3490-621a-42fa-9598-eb312fe69165,Furniture SKU-10002,Furniture,9403.42,False,False,False,True,156.51,Unity Suppliers
2724925d-a168-4e0d-80fd-43792b3042ca,Medical Devices SKU-10003,Medical Devices,9018.26,False,False,True,True,686.31,Pacific Suppliers
48e370d8-f09f-4cd5-9b22-da21d6c753a2,Food SKU-10004,Food,2106.45,False,False,True,False,428.35,Eastern Suppliers
cc159150-bb70-44be-83fb-6d49720a12ef,Food SKU-10005,Food,2106.73,False,True,False,False,427.49,Unity Suppliers
10dafb0d-2ce2-4ebb-8a4b-95c8bd35d992,Chemicals SKU-10006,Chemicals,3824.59,False,False,False,False,378.94,Pacific Suppliers
42012954-2aa8-4ef7-ae06-59059087196a,Pharma SKU-10007,Pharma,3004.99,False,False,True,False,839.71,Eastern Suppliers
e0436096-c089-4da8-8f7a-0b1dbaefe142,Furniture SKU-10008,Furniture,9403.79,False,False,False,True,843.88,Unity Suppliers
7925721e-78b7-45ac-b0a6-3fe72f2c1611,Pharma SKU-10009,Pharma,3004.4,False,True,True,False,477.25,Unity Suppliers
8559ab22-5257-4bc0-8dd6-26115d96deb4,Chemicals SKU-10010,Chemicals,3824.6,True,False,False,False,769.45,Nova Suppliers
d9942086-8c77-4d90-8e5e-a6c1da3c0289,Electronics SKU-10011,Electronics,8517.92,False,False,False,False,718.72,Summit Suppliers
d7f8a556-c24d-40e0-a78d-ce682aa50314,Textiles SKU-10012,Textiles,6204.26,False,False,False,False,676.53,Unity Suppliers
832ee5b5-5fdb-41d3-83da-89101e75d9d5,Chemicals SKU-10013,Chemicals,3824.97,True,False,False,False,17.96,Metro Suppliers
78cd692f-961b-4d01-a961-dc97429ebaf6,Furniture SKU-10014,Furniture,9403.27,False,False,False,True,787.54,Summit Suppliers
4d912065-6b09-4bef-823d-cf2aab7089ac,Food SKU-10015,Food,2106.25,False,False,True,False,143.74,Nova Suppliers
d4be9e7d-94e7-4460-a1d4-97dad4d5c583,Electronics SKU-10016,Electronics,8517.24,False,False,False,True,385.37,Summit Suppliers
3d99a841-64e6-4cbe-ac8c-c0a00707335b,Consumer Goods SKU-10017,Consumer Goods,3926.22,False,False,False,False,77.86,Pacific Suppliers
41fdcb7c-ecff-4bc9-afb9-38f23da751eb,Automotive Parts SKU-10018,Automotive Parts,8708.64,False,False,False,False,312.39,Pacific Suppliers
7bd6c760-0c1d-4a27-9639-5e1ff757b0cf,Machinery SKU-10019,Machinery,8479.25,False,False,False,False,593.88,Eastern Suppliers
8c3cebfa-0c1d-40e0-8a24-2945c9adacac,Medical Devices SKU-10020,Medical Devices,9018.32,False,False,True,True,588.88,Summit Suppliers
fb3388da-7605-4978-9921-7b1b5b28bf3e,Chemicals SKU-10021,Chemicals,3824.17,True,False,False,False,95.16,Metro Suppliers
3bc58482-e709-4e06-984c-94be6d93562c,Chemicals SKU-10022,Chemicals,3824.51,True,False,False,False,259.22,Unity Suppliers
20f25a25-65ac-4d51-aab1-e6f7be7fef13,Chemicals SKU-10023,Chemicals,3824.57,True,False,False,False,684.51,Unity Suppliers
6612773d-19a6-457f-b447-36443c824418,Automotive Parts SKU-10024,Automotive Parts,8708.88,False,False,False,False,642.69,Summit Suppliers
2bebbd86-de94-4993-99c2-93e6e4df61b7,Machinery SKU-10025,Machinery,8479.12,False,False,False,False,81.54,Eastern Suppliers
301999a4-cca5-4f2e-8661-3d0170d442d5,Chemicals SKU-10026,Chemicals,3824.51,True,False,False,False,637.95,Summit Suppliers
16d39d5a-2dc6-4d8d-be29-da40efa24de4,Medical Devices SKU-10027,Medical Devices,9018.59,False,False,False,False,597.07,Summit Suppliers
6ae3aebc-d2a8-402f-bb9b-407877613045,Medical Devices SKU-10028,Medical Devices,9018.95,False,False,False,False,276.55,Pacific Suppliers
1f0fbfb8-1ea6-499e-b75f-601eb639541a,Consumer Goods SKU-10029,Consumer Goods,3926.53,False,False,False,False,322.8,Eastern Suppliers
b4c550b1-e3ed-4d11-81ec-389a7028cdd1,Electronics SKU-10030,Electronics,8517.2,False,False,False,True,475.46,Eastern Suppliers
486fea81-feb5-4952-9f20-b1e83aaec456,Furniture SKU-10031,Furniture,9403.88,False,False,False,True,221.58,Eastern Suppliers
7eb8c187-3037-4951-9043-169245b24a89,Medical Devices SKU-10032,Medical Devices,9018.92,False,False,True,True,371.14,Nova Suppliers
52f8c70e-666e-4c3d-81dd-126886deec73,Machinery SKU-10033,Machinery,8479.18,False,False,False,False,7.85,Unity Suppliers
5e4e4e8b-16c1-4fbb-9650-d53203e6e281,Electronics SKU-10034,Electronics,8517.31,False,False,False,False,97.25,Metro Suppliers
9dbc48df-2cef-4414-af21-af1dd45fe445,Textiles SKU-10035,Textiles,6204.94,False,False,False,False,453.97,Metro Suppliers
a4b8df5b-55a1-4024-bb56-3d2a9fa59d64,Machinery SKU-10036,Machinery,8479.48,False,False,False,False,841.82,Nova Suppliers
2118697c-c67d-47ee-a512-7c41b9e52b4a,Textiles SKU-10037,Textiles,6204.19,False,False,False,False,677.5,Eastern Suppliers
82b0146b-58dc-43f2-acf9-460f2c1744d9,Chemicals SKU-10038,Chemicals,3824.88,True,False,False,False,787.75,Pacific Suppliers
