inference_id,shipment_id,model_id,prediction_timestamp,delay_probability,risk_category,latency_ms
095fcec2-7a82-43af-9b05-26769481008d,5fd50c5c-973f-43bc-a629-06e4b5cd541b,a516984e-2c08-4916-847c-7fe4e5e6164f,2026-01-01 17:27:00,0.06664,Low,486
13be4421-5667-4ba4-8289-3b0d546c2d97,0b3e6b43-595b-47e2-b040-e49c8abc0fc3,fba27c8a-8099-4ba1-a4e3-6680e6c82a0e,2025-08-31 10:20:00,0.4207,Medium,512
bae21180-ee84-483e-b9f1-0e55a180c061,eb90f8ca-5c5e-4cf8-942a-d65b9c1d8fd1,cb443cdc-28e0-413c-b47e-ec1a23c921b3,2026-04-05 20:40:00,0.37343,Medium,707
0369e41b-4236-4b1e-bfe3-31e62ee8e2ba,191fe38a-84f0-4897-83f3-9a017c58ff3b,bf59934a-caac-454f-a913-eeabb585075d,2025-09-12 16:00:00,0.36056,Medium,121
ffe2ba9f-0cb0-4e3d-87c8-c090f0392827,7412c2d3-27ea-4c30-82a6-52ec50628f39,c81b05f9-a610-4a65-b17b-82e64e61a014,2025-02-19 18:31:00,0.16718,Low,738
c9ce40f0-4392-474e-a605-d2dc09e5cd63,73a69323-1d7f-42d2-849c-be60d0644392,0563caf3-856c-43cd-bf1d-b9b92954f40f,2025-02-06 13:49:00,0.74778,High,741
b06f0543-a566-4ad5-8486-55e88c31ae64,6cfe3c87-a603-4517-9471-1a5c2bff4922,c90b7b61-4d19-4905-9ff0-eb6109b20afc,2025-12-05 14:26:00,0.44044,Medium,366
5ffe9d4d-8771-4185-8ce6-6f8dfd336b7b,944b0f0f-5828-4038-b55e-3782cd646852,1ac85d5e-490a-4988-bb5a-71895182db4b,2025-04-26 08:38:00,0.03306,Low,630
e4a4242e-3a9c-4586-bf45-006d3c398857,c4288638-6002-4895-b2a2-2532892a5873,a6888ba2-b3f7-4f9c-a912-227741419582,2025-08-19 12:58:00,0.17837,Low,214
039b6809-0744-4c9f-a562-b4481878c899,dc3c6115-c547-47b6-a02e-d6a0d3aab8cc,aef74862-1bbe-44cf-9a9e-443f00a22285,2025-11-11 15:10:00,0.46199,Medium,409
2660e60a-a22b-455b-86ec-b31a2da0ae82,edfb13c9-5c5c-4efa-ac76-6a249f734b1b,b684d9f6-b5cf-4cc9-bd37-e1f77904b515,2025-03-09 15:02:00,0.21112,Low,721
d2070ca3-5839-41dc-949a-a52d3e26d0c7,577c2cd1-818c-4499-be55-334e5e7baac5,fe4e62fb-893c-41f4-bf3a-c0333ad62c54,2025-03-07 11:39:00,0.13944,Low,513
0582fc5d-d239-4c38-bd36-eecdeb553f7b,ff378584-ae85-409c-9049-0d9b8b25a168,56ba8fee-f1d0-45d7-a13b-835ad7461f46,2025-10-04 13:40:00,0.14198,Low,735
86743816-49f7-491f-8ad6-5557ef641765,780270c0-a7e2-4ac1-a62d-b9040b3a11bb,579f923e-0722-4cb7-8b07-8247b108883a,2025-02-02 13:55:00,0.20665,Low,693
12510838-f036-44eb-8744-4d6289357cd3,ea76f869-1f9d-43e9-9684-95e644434ab5,35d5cec1-a8a8-46d7-ab1a-ed58915594cb,2025-06-07 11:35:00,0.17597,Low,582
e1d218b7-160a-4350-acff-afb466f7a9fa,e7e53f76-9c14-4422-af6b-a831187c2ea7,e6ebbb8b-9175-45ac-9c33-125b544d8ebb,2025-01-28 22:12:00,0.10773,Low,754
7abd5b63-db9c-49f2-965d-70c98e606d9a,103b51ba-50c7-41ba-a79c-850e5c583c38,7a6d91df-6233-4749-a2c3-fffcda450f53,2025-04-03 18:59:00,0.0822,Low,451
459a48a1-79d8-454e-abe9-893fa8d34498,3ea44901-2d7b-4a8b-b93d-94466cf17827,a7edace2-7bfc-431e-af82-0215718df6ef,2025-03-25 10:25:00,0.12075,Low,597
ca9180ed-16de-46a2-a35e-8158a5445745,f00cca3f-8191-49ab-9441-e8534a7828fa,adc2ef8a-257c-48d9-8535-c4ec47ca56fe,2025-07-04 18:41:00,0.1001,Low,430
481836c4-3e88-4d49-8d92-582eedb25a9d,ceba6c0e-8603-4529-9541-6e0f83ca1b4d,3935d0b7-1f1a-4968-8951-343e51c86264,2025-05-24 14:04:00,0.06334,Low,199
12a320e6-c5f5-445a-baee-980d63224546,c0d5bad1-7e77-47ec-9993-c00c937b14d2,8c6f33a9-50b8-40cc-a02d-2b07f0d5bde2,2025-10-22 18:51:00,0.4221,Medium,111
16cee7e5-0059-4105-b274-394046e24085,6360b19c-ca79-450a-b40c-1a8c5da9f710,0b6c553a-4399-4c38-8cd7-c341f35e7251,2025-04-21 16:06:00,0.07128,Low,308
db408f5c-8449-467f-a04c-c580dd312b37,d5fa79d0-4747-484f-a2f9-bd89e7ba0222,aca9f4ef-9aa3-4833-8f8c-e63b0c2ce6a0,2025-03-12 19:15:00,0.13919,Low,122
1cd87175-4326-42c6-9e10-03a8a349c925,66da8ae7-0799-4db5-a7e3-41587b2158bd,05ec4577-64d0-4b57-b6b4-7045974f6ecb,2025-11-01 18:19:00,0.19237,Low,52
6c74198b-8212-4337-b520-0c0ce79c1a87,7c9c0f2b-dde6-4eb9-ac7b-7613ec28c744,4c290567-20cf-4e10-8410-52d71da8a9ed,2025-12-19 12:41:00,0.13129,Low,207
d230c0d0-5d41-4b5d-b73c-a0979b434a1e,25cd962f-8773-4c20-9037-5e61103c10bb,dfcca725-1abf-4702-aa99-e5f564432b98,2025-07-21 22:53:00,0.0776,Low,269
390c3f82-7cf4-4141-a7dd-e0f61f30988e,75c53893-28b0-45be-9002-3e92f9ef35fe,93a7f532-8052-4d59-9cfb-e83ada0e9d07,2026-01-25 11:23:00,0.45598,Medium,498
e8f9586f-3fc9-43cf-9e0e-c7b40809da29,d11529e1-5c7f-40fc-b991-ce8c93690393,a212bba2-c0bb-4255-b493-ddf6dee5fe3b,2026-02-02 10:22:00,0.16221,Low,174
10d003c3-3e48-4dd9-8a33-122f4c10f9f2,8e195477-b47a-43b5-aee2-ae6eae252d1b,e6954003-387d-48fb-87e9-bd7610d5981b,2025-08-16 11:48:00,0.13713,Low,572
4781478b-f40a-4a3a-911b-ddd73f1a1367,758f238c-3a26-41ba-95da-95105b09554a,de6ded0c-51f7-4737-8d70-35b1394d635c,2025-06-16 14:33:00,0.08661,Low,496
